,keyPoints,detector-time,focused,descriptor-time,matches,matching-time,total-time
FAST-BRIEF,1787.4,0.565711,149.1,0.5817347,122.1111111,0.016763,1.1474457
FAST-ORB,1787.4,0.6141361,149.1,0.8599545,119,0.015713778,1.4740906
FAST-BRISK,1787.4,0.6108507,149.1,1.176794,99.88888889,0.015117556,1.7876447
Shi-Tomasi-Brief,1342.3,7.96169,117.9,0.649066,104.8888889,0.013908,8.610756
HSRRIS-Brief,173.7,9.492186,24.8,0.3976599,19.22222222,0.005720222,9.8898459
HARRIS-ORB,173.7,9.431086,24.8,0.694767,18,0.004889222,10.125853
HARRIS-BRISK,173.7,9.934096,24.8,0.4073427,15.77777778,0.005930222,10.3414387
Shi-Tomasi-ORB,1342.3,9.695118,117.9,0.8427468,100.8888889,0.012428889,10.5378648
Shi-Tomasi-BRISK,1342.3,9.54102,117.9,1.166072,85.22222222,0.014044444,10.707092
FAST-SIFT,1787.4,0.5654705,149.1,11.13085,116.2222222,0.009493,11.6963205
ORB-BRISK,500,13.170178,115,0.9813863,82.66666667,0.012826778,14.1515643
ORB-BRIEF,500,14.343623,115,0.5493646,60,0.012309111,14.8929876
ORB-ORB,500,14.711252,115,3.309367,83.88888889,0.014247222,18.020619
Shi-Tomasi-SIFT,1342.3,9.759497,117.9,10.78964,103.1111111,0.008071222,20.549137
FAST-FREAK,1787.4,0.5718453,149.1,20.95228,97.55555556,0.015102889,21.5241253
HARRIS-SIFT,173.7,10.988067,24.8,10.85578,18.11111111,0.003352,21.843847
Shi-Tomasi-FREAK,1342.3,7.798344,117.9,21.04239,85.33333333,0.013283556,28.840734
HARRIS-FREAK,173.7,8.806037,24.8,20.34205,16,0.003609444,29.148087
ORB-SIFT,500,12.827007,115,17.5007,84.44444444,0.008825889,30.327707
AKAZE-BRIEF,1342.9,37.18742,165.5,0.7629838,139.6666667,0.021125556,37.9504038
AKAZE-BRISK,1342.9,37.76159,165.5,1.372291,133.7777778,0.018061444,39.133881
ORB-FREAK,500,19.130445,115,20.86147,46.22222222,0.006671444,39.991915
AKAZE-SIFT,1342.9,35.81431,165.5,12.79642,140.5555556,0.011873556,48.61073
SIFT-BRISK,1386,55.00158,137.2,1.1033629,65.33333333,0.012878667,56.1049429
SIFT-BRIEF,1386,57.7954,137.2,0.500107,77.22222222,0.015314111,58.295507
AKAZE-FREAK,1342.9,36.47169,165.5,23.29512,131,0.016308,59.76681
AKAZE-AKAZE,1342.9,41.4928,165.5,33.86088,138.7777778,0.016856556,75.35368
SIFT-FREAK,1386,55.68525,137.2,21.54496,65.55555556,0.012520444,77.23021
SIFT-SIFT,1386,56.90901,137.2,52.95541,88.22222222,0.008687111,109.86442
BRISK-BRISK,2711.6,175.9224,271.3,2.091536,171.5555556,0.024278778,178.013936
BRISK-ORB,2711.6,177.9246,271.3,3.117147,164.3333333,0.023696778,181.041747
BRISK-SIFT,2711.6,174.9046,271.3,14.95013,181.2222222,0.014543,189.85473
BRISK-BRIEF,2711.6,189.7307,271.3,0.9528819,186.1111111,0.058670111,190.6835819
BRISK-FREAK,2711.6,179.0855,271.3,21.8382,166.1111111,0.023288333,200.9237
