,points,detector-time,focused,descriptor-time,matches,matching-time
AKAZE-AKAZE,1342.9,41.4928,165.5,33.86088,138.7777778,0.016856556
,1351,42.4113,162,36.1443,,
,1327,43.4928,157,33.5006,135,0.021595
,1311,35.3973,159,32.1393,138,0.020865
,1351,41.8368,154,36.4914,132,0.016825
,1360,40.7027,162,33.0261,126,0.011873
,1347,40.2992,163,33.2887,128,0.017077
,1363,39.6794,173,34.3948,146,0.018374
,1331,36.554,175,33.3193,147,0.010992
,1357,40.6631,175,32.3121,149,0.019195
,1331,53.8914,175,33.9922,148,0.014913
,,,,,,
Shi-Tomasi-Brief,1342.3,7.96169,117.9,0.649066,104.8888889,0.013908
,1370,10.9694,125,0.935057,,
,1301,9.9786,118,1.33315,115,0.011338
,1361,8.64097,123,0.612514,111,0.014446
,1358,7.03208,120,0.55911,104,0.014343
,1333,6.75416,120,0.492331,101,0.014193
,1284,7.57322,113,0.490085,102,0.014382
,1322,7.03139,114,0.524,102,0.015282
,1366,7.01814,123,0.537424,100,0.014271
,1389,7.56592,111,0.525395,109,0.014345
,1339,7.05302,112,0.481594,100,0.012572
,,,,,,
HSRRIS-Brief,173.7,9.492186,24.8,0.3976599,19.22222222,0.005720222
,115,9.97387,17,0.318453,,
,98,7.42851,14,0.313527,14,0.00515
,113,7.34634,18,0.274849,11,0.00454
,121,7.5008,21,0.323152,15,0.004643
,160,8.37235,26,0.76609,20,0.006829
,383,17.0562,43,0.353202,24,0.006534
,85,7.30339,18,0.308993,26,0.006801
,210,9.16322,31,0.688415,16,0.004681
,171,9.86478,26,0.310485,24,0.006069
,281,10.9124,34,0.319433,23,0.006235
,,,,,,
FAST-BRIEF,1787.4,0.565711,149.1,0.5817347,122.1111111,0.016763
,1824,0.595637,149,0.584025,,
,1832,0.556239,152,0.550768,119,0.013575
,1810,0.553005,150,0.567908,130,0.021066
,1817,0.548515,155,0.573671,118,0.014407
,1793,0.56581,149,0.586877,126,0.0141
,1796,0.569077,149,0.586797,108,0.016697
,1788,0.566246,156,0.589243,123,0.016001
,1695,0.581313,150,0.596344,131,0.021625
,1749,0.563273,138,0.600549,125,0.016514
,1770,0.557995,143,0.581165,119,0.016882
,,,,,,
BRISK-BRIEF,2711.6,189.7307,271.3,0.9528819,186.1111111,0.058670111
,2757,202.225,254,0.892336,,
,2777,175.637,274,1.14904,174,0.024997
